100,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,655,1657,12.5,45,180,27,45,180,27,1.2754,335,50,640,4500,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
